4.233125973070004733e+01,-7.106964450079044582e+01,6.601733714342117310e-02,4.926652312278747559e-01,4.413174092769622803e-01
4.233125973070004733e+01,-7.106995606290988121e+01,8.937042206525802612e-02,6.007335782051086426e-01,3.098959624767303467e-01
4.233125973070004733e+01,-7.107026762502931660e+01,9.248007088899612427e-02,7.152069807052612305e-01,1.923129558563232422e-01
4.233125973070004733e+01,-7.107057918714875200e+01,4.687010869383811951e-02,8.179668784141540527e-01,1.351630538702011108e-01
4.233125973070004733e+01,-7.107089074926818739e+01,1.342594902962446213e-02,8.617579936981201172e-01,1.248161047697067261e-01
4.233125973070004733e+01,-7.107120231138762279e+01,6.131777074187994003e-03,8.987198472023010254e-01,9.514834731817245483e-02
4.233125973070004733e+01,-7.107151387350705818e+01,4.347740672528743744e-03,9.340860247611999512e-01,6.156627461314201355e-02
4.233125973070004733e+01,-7.107182543562649357e+01,2.836368512362241745e-03,9.201866984367370605e-01,7.697694003582000732e-02
4.233125973070004733e+01,-7.107213699774592897e+01,2.054902957752346992e-03,9.096953868865966797e-01,8.824965357780456543e-02
4.233125973070004733e+01,-7.107244855986536436e+01,2.617359394207596779e-03,9.042571187019348145e-01,9.312543272972106934e-02
4.233125973070004733e+01,-7.107276012198479975e+01,5.394976120442152023e-03,8.909457325935363770e-01,1.036592125892639160e-01
4.233125973070004733e+01,-7.107307168410423515e+01,8.442797698080539703e-03,8.753959536552429199e-01,1.161612346768379211e-01
4.233125973070004733e+01,-7.107338324622367054e+01,7.784015499055385590e-03,8.680807352066040039e-01,1.241352260112762451e-01
4.233125973070004733e+01,-7.107369480834310593e+01,5.045737139880657196e-03,8.406639695167541504e-01,1.542903184890747070e-01
4.233125973070004733e+01,-7.107400637046254133e+01,3.583264769986271858e-03,7.783955335617065430e-01,2.180212140083312988e-01
4.233125973070004733e+01,-7.107431793258197672e+01,3.288157051429152489e-03,6.518640518188476562e-01,3.448477685451507568e-01
4.233125973070004733e+01,-7.107462949470141211e+01,4.413426853716373444e-03,4.904014170169830322e-01,5.051851272583007812e-01
4.233125973070004733e+01,-7.107494105682084751e+01,7.001467049121856689e-03,3.813936710357666016e-01,6.116049289703369141e-01
4.233125973070004733e+01,-7.107525261894028290e+01,1.087155845016241074e-02,3.817825913429260254e-01,6.073458194732666016e-01
