X,Y,Number,Name,Latitude,Longitude,District,Public_,Total_docks,ObjectId
-7913294.73033233,5215976.3742153,M32027,Binney St / Sixth St,42.36608797,-71.08633604,Cambridge,Yes,19,54
-7911430.98045565,5215715.41396687,D32050,Blossom St at Charles St,42.36435589,-71.06959369,Boston,Yes,15,55
-7914117.32348316,5202205.46963983,C32044,Blue Hill Ave at Almont St,42.27462067,-71.09372552,Boston,Yes,19,56
-7913812.36151174,5203919.40631022,C32092,Blue Hill Ave at Havelock St,42.286012,-71.090986,Boston,Yes,18,57
-7912365.24041408,5208712.92524365,B32057,Blue Hill Ave at Southwood St,42.31786021,-71.07798629,Boston,Yes,0,58
-7910099.07725735,5214896.47356734,B32008,Boston City Hall - 28 State St,42.35892,-71.057629,Boston,Yes,25,59
-7922284.14656821,5212028.41085241,N32009,Boston College T,42.33987892,-71.16708934,Newton,Yes,17,60
-7908733.29508522,5213215.91281048,D32018,Boston Convention and Exhibition Center - Summer St at West Side Dr,42.34776345,-71.04535997,Boston,Yes,23,61
-7908250.18074032,5217064.86492424,A32036,Boston East - 126 Border St,42.37331213,-71.04102008,Boston,Yes,15,62
-7919455.07748197,5214541.08998018,A32045,Boston Landing,42.35656092,-71.14167538,Boston,Yes,7,63
-7911817.63980136,5211504.36436257,C32002,Boston Medical Center - E Concord St at Harrison Ave,42.33639915,-71.07306711,Boston,Yes,19,64
-7910933.24874841,5207206.35030939,B32031,Bowdoin St at Quincy St,42.30785224,-71.06512249,Boston,Yes,15,65
-7911543.33076493,5213855.4956179,D32007,Boylston St at Arlington St,42.35200961,-71.07060295,Boston,Yes,31,66
-7911842.72898819,5213724.80432392,D32013,Boylston St at Berkeley St,42.35114198,-71.07329249,Boston,Yes,15,67
-7912304.6358569,5213581.89145296,D32055,Boylston St at Dartmouth St,42.3501932,-71.07744187,Boston,Yes,23,68
-7912530.16023969,5213490.94637868,D32046,Boylston St at Exeter St,42.34958942,-71.07946779,Boston,Yes,19,69
-7912803.56647505,5213414.44853766,C32008,Boylston St at Fairfield St,42.34908155,-71.08192384,Boston,Yes,3,70
-7914518.01687707,5212747.0681078,B32034,Boylston St at Jersey St,42.34465063,-71.09732501,Boston,Yes,15,71
-7913344.61370935,5213162.10508872,B32018,Boylston St at Massachusetts Ave,42.34740621,-71.08678415,Boston,Yes,15,72
-7915269.8876422,5211237.78385451,B32013,Brigham Circle - Francis St at Huntington Ave,42.33462893,-71.10407918,Boston,Yes,15,73
-7918119.22355494,5213980.21761248,D32058,Brighton Ave at Linden St,42.3528376,-71.1296752,Boston,Yes,19,74
-7920412.03659777,5213394.41854761,D32028,Brighton Center - Washington St at Cambridge St,42.34894857,-71.15027189,Boston,Yes,16,75
-7919019.44980545,5215292.03931823,A32005,Brighton Mills - 370 Western Ave,42.36154571,-71.13776207,Boston,Yes,15,76
-7912908.98046686,5215517.99154997,M32082,Broad Canal Way at Third Street,42.3630455,-71.08287079,Cambridge,Yes,19,77
-7909724.56509447,5214832.3716307,A32047,Broad St at Central St,42.35849449,-71.0542647,Boston,Yes,15,78
-7910779.17589399,5220839.97987927,V32011,Broadway at Beacham St,42.3983606,-71.06373843,Everett,Yes,6,79
-7914649.47517695,5220359.2592816,S32016,Broadway at Central St,42.3951715,-71.09850592,Somerville,Yes,19,80
-7907118.71385117,5220262.68247437,H32004,Broadway at Gerrish Ave,42.39453079,-71.03085594,Chelsea,Yes,11,81
-7919278.95001002,5222585.96946534,L32004,Broadway at Grafton St,42.40994213,-71.1400932,Arlington,Yes,0,82
-7910971.66621788,5220557.03747884,V32004,Broadway at Lynde St,42.39648358,-71.0654676,Everett,Yes,15,83
-7909539.76138142,5222646.99846451,V32008,Broadway at Maple St,42.41034691,-71.05260458,Everett,Yes,14,84
-7912398.09190901,5218998.20829153,S32014,Broadway St at Mt Pleasant St,42.38614141,-71.0782814,Somerville,Yes,19,85
-7917093.8897815,5211107.64519948,K32005,Brookline Town Hall,42.33376473,-71.12046447,Brookline,Yes,15,86
-7916626.60840778,5210953.92516982,K32003,Brookline Village - Station Street at MBTA,42.33274392,-71.11626681,Brookline,Yes,19,87
-7911371.56701702,5217182.06335742,A32023,Bunker Hill Community College,42.37408991,-71.06905997,Boston,Yes,23,88
-7914893.05112836,5212910.08917737,B32020,Burlington Ave at Brookline Ave,42.345733,-71.100694,Boston,Yes,0,89
-7926210.50189395,5215834.8616584,N32011,California at Chapel,42.36514871,-71.20236039,Newton,Yes,12,90
-7912166.16888189,5216737.71963799,M32077,Cambridge Crossing at North First Street,42.371141,-71.076198,Cambridge,Yes,23,91
-7914548.48056892,5216746.19975053,M32052,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119728,-71.09759867,Cambridge,Yes,19,92
