pixelPlant,pixelPole,pixelLake,pixelRoad,pixelGrass,pixelWall,pixelCar,propertiesAsses,pixelSea,numCraigslistHouse,pixelRiver,pixelBus,pixelCeiling,pixelPath,pixelBuilding,crime,pixelFence,walkSchool,walkMbta,energySiteEUI,pixelPerson,pixelTree,pixelVan,walkPark,walkUniversity,pixelSidewalk,pixelGround,pixelMountain,pixelPalmTree,pixelHouse,pixelBridge,pixelSign,pixelRailing,pixelField,pixelWindow,pixelGrandstand,numCraigslistRoom,pixelSky,Latitude,Longitude,Address,Zip,RoomType,Bathrooms,SQFT,SQM,Price
0,0,37.65,1.242,0,0.694,0.02,216929815,0,0,0,0,0,0.804,0,35,0,34,12,965.3,0.02,9.99,0,56,24,0.016,0,0,0,9.59,0,1.123,0,0,0,0,0,24.04,42.356464,-71.06176,6 Hamilton Pl #304 Boston 02108,2108,4,2,,0,6300
0,0.366,0.9,0.988,0,0,0.028,13676500,0,0,0,0,0,0.543,0,0,0,36,11,197,0.028,14.75,0,51,22,0.701,0,0,0.075,0.593,0,0.081,0,0.057,0,0,0,67.45,42.357292,-71.065674,37 Beacon St #43 Boston 02108,2108,2,1,995,92.438485,3300
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.35684,-71.07004,82 Chestnut St #21 Boston 02108,2108,,1,413,38.368939,2600
0,0,43.3,3.583,0,2.257,4.928,18049700,0,0,0,0,0,0,1.742,5,0,11,0,212.2,4.928,2.022,0.39,10,0,2.738,0,0.017,0.653,2.387,0.022,0.075,1.17,0,0,0,0,10.64,42.303974,-71.07125,130 Bowdoin St #1306 Boston 02108,2108,1,1,650,60.38695,2250
0,0,60.99,2.671,0,2.116,6.639,142585895,0,0,0,0,0,0,0,4,0,32,10,0,6.639,1.739,0.053,51,20,4.167,0,0,0.099,0.349,0,0.096,0,0,0,0,0,18.16,42.357727,-71.065384,2 Joy St #8 Boston 02108,2108,,1,500,46.4515,1750
0,0.035,50.87,1.745,0,0.514,2.51,258957439,0,0,0,0,0,0,0,14,0,22,6,0,2.51,4.223,0,38,14,2.564,0,0,0.116,1.925,0,0.04,1.297,0,0,0,0,23.75,42.35807,-71.069046,2 Louisburg Sq #BG Boston 02108,2108,2,1.5,1200,111.4836,3000
0,0.004,34.12,0.217,0,4.409,22.56,173725104,0,0,0,0,0,0,0,14,0,31,6,145,22.56,0,0,34,18,1.013,0,0,0.175,2.47,0,0.068,0.078,0.952,0,0,0,27.81,42.356266,-71.070145,Beacon Hill Boston 02108,2108,2,2,,0,5200
0,0,78.58,2.886,0,1.597,0.069,320842900,0,0,0,0,0,0,0,4,0,32,12,1791.75,0.069,0,0.178,54,24,3.701,0,0,0,2.011,0,0.357,0,0,0.015,0,0,2.666,42.358536,-71.06259,Beacon Hill Boston 02108,2108,1,1,,0,2500
0,0,78.58,2.886,0,1.597,0.069,320842900,0,0,0,0,0,0,0,4,0,32,12,1791.75,0.069,0,0.178,54,24,3.701,0,0,0,2.011,0,0.357,0,0,0.015,0,0,2.666,42.35851,-71.062584,Beacon Hill Boston 02108,2108,,1,,0,2600
0,0.035,50.87,1.745,0,0.514,2.51,258957439,0,0,0,0,0,0,0,14,0,22,6,0,2.51,4.223,0,38,14,2.564,0,0,0.116,1.925,0,0.04,1.297,0,0,0,0,23.75,42.358112,-71.06925,Beacon Hill Boston 02108,2108,2,2,900,83.6127,3200
