,Latitude,Longitude,crime,Bathrooms,SQFT,Price,energySiteEUI
1,42.356533,-71.070305,14,3.5,2500,9500.0,145.0
2,42.3554,-71.06151,19,2.5,2250,8500.0,263.7
3,42.356464,-71.06176,35,2.0,1325,7200.0,965.3
4,42.356464,-71.06176,35,1.0,750,3800.0,965.3
5,42.356464,-71.06176,35,2.0,1125,6000.0,965.3
6,42.356464,-71.06176,35,2.0,1180,6000.0,965.3
7,42.303974,-71.07125,5,1.0,650,2250.0,212.2
8,42.356464,-71.06176,35,2.0,1000,5600.0,965.3
14,42.356266,-71.070145,14,2.0,,5200.0,145.0
16,42.252857,-71.11705,5,2.0,,3400.0,260.9
17,42.356266,-71.070145,14,2.0,1240,5000.0,145.0
18,42.356464,-71.06176,35,2.0,,5600.0,965.3
19,42.356464,-71.06176,35,2.0,,6300.0,965.3
20,42.357292,-71.065674,0,1.0,995,3300.0,197.0
21,42.35684,-71.07004,14,1.0,413,2600.0,145.0
22,42.303974,-71.07125,5,1.0,650,2250.0,212.2
25,42.356266,-71.070145,14,2.0,,5200.0,145.0
29,42.252857,-71.11705,5,1.0,600,2600.0,260.9
33,42.356464,-71.06176,35,1.0,750,3500.0,965.3
34,42.356266,-71.070145,14,2.0,1240,5200.0,145.0
35,42.357437,-71.06869,14,1.0,,2100.0,145.0
40,42.252857,-71.11705,5,1.0,575,2950.0,260.9
42,42.356266,-71.070145,14,2.0,,5200.0,145.0
44,42.356266,-71.070145,14,2.0,,5200.0,145.0
45,42.35554,-71.06136,35,3.0,3435,12000.0,965.3
46,42.356773,-71.06997,14,1.0,750,3850.0,145.0
47,42.35678,-71.069984,14,1.0,750,3850.0,145.0
50,42.252857,-71.11705,5,2.0,,3550.0,260.9
51,42.357246,-71.06,30,2.5,1998,11750.0,532.1
52,42.356293,-71.06971,14,2.0,,5200.0,145.0
54,42.35761,-71.0698,14,1.0,,2900.0,145.0
55,42.3554,-71.06151,19,2.5,,8500.0,263.7
56,42.312897,-71.097374,11,1.0,1000,2300.0,245.7
57,42.252857,-71.11705,5,1.0,575,2950.0,260.9
59,42.356266,-71.070145,14,2.0,,5200.0,145.0
62,42.356266,-71.070145,14,2.0,,5200.0,145.0
63,42.252857,-71.11705,5,2.0,,3475.0,260.9
66,42.35761,-71.0698,14,1.0,,2900.0,145.0
67,42.303974,-71.07125,5,1.0,570,2050.0,212.2
68,42.356773,-71.06997,14,1.0,797,3850.0,145.0
69,42.3574,-71.064964,0,2.0,,3475.0,197.0
71,42.356266,-71.070145,14,2.0,1500,5200.0,145.0
72,42.356266,-71.070145,14,2.0,,5200.0,145.0
78,42.357246,-71.06,30,4.0,2837,35000.0,532.1
79,42.35684,-71.06867,14,2.0,1400,3695.0,145.0
82,42.303974,-71.07125,5,1.0,768,2200.0,212.2
83,42.303974,-71.07125,5,1.0,570,2400.0,212.2
88,42.252857,-71.11705,5,1.0,700,2970.0,260.9
90,42.355816,-71.06178,35,2.0,,6000.0,965.3
92,42.357246,-71.06,30,2.0,1317,5500.0,532.1
103,42.303974,-71.07125,5,1.0,,2100.0,212.2
104,42.303974,-71.07125,5,1.0,,2250.0,212.2
105,42.35548,-71.06084,35,1.0,,2850.0,965.3
106,42.355816,-71.06178,35,2.0,,4700.0,965.3
115,42.252857,-71.11705,5,1.0,,2600.0,260.9
117,42.303974,-71.07125,5,1.0,606,2175.0,212.2
118,42.297344,-71.07283,6,1.0,,4400.0,67.7
120,42.252857,-71.11705,5,1.0,,2900.0,260.9
122,42.303974,-71.07125,5,1.0,630,2000.0,212.2
123,42.303974,-71.07125,5,1.0,,2175.0,212.2
125,42.303974,-71.07125,5,1.0,,2100.0,212.2
126,42.303974,-71.07125,5,1.0,,2200.0,212.2
130,42.356266,-71.07004,14,2.0,4035,5200.0,145.0
134,42.362194,-71.051796,3,1.0,680,2700.0,211.3
135,42.362194,-71.051796,3,1.0,1180,3600.0,211.3
136,42.361675,-71.053185,7,1.0,780,2650.0,238.0
137,42.367596,-71.054306,3,1.0,,1799.0,155.5
138,42.36499,-71.052605,14,1.0,600,2400.0,372.3
139,42.362057,-71.053246,7,1.0,1200,3000.0,238.0
140,42.365963,-71.051926,2,1.0,,1500.0,326.1
141,42.36513,-71.05145,2,1.0,754,2700.0,326.1
142,42.362694,-71.052284,14,1.0,735,2600.0,188.3
143,42.366074,-71.05176,2,1.5,1100,3400.0,326.1
144,42.36648,-71.05226,14,1.0,,2400.0,372.3
145,42.366226,-71.05108,2,1.0,716,1800.0,326.1
146,42.36752,-71.05388,3,1.0,475,1800.0,155.5
147,42.36414,-71.05193,3,1.0,464,2200.0,211.3
148,42.36596,-71.05202,2,1.0,,1500.0,326.1
149,42.357876,-71.05435,16,1.0,650,3100.0,912.9
150,42.362106,-71.053185,7,1.0,887,2500.0,238.0
151,42.36652,-71.05189,2,1.0,380,2650.0,326.1
152,42.36304,-71.05275,14,2.0,1240,4300.0,188.3
153,42.357876,-71.05435,16,4.0,2300,6000.0,912.9
154,42.357876,-71.05435,16,1.0,700,2600.0,912.9
155,42.357876,-71.05435,16,1.0,,2595.0,912.9
156,42.357876,-71.05435,16,1.0,700,2500.0,912.9
157,42.357876,-71.05435,16,2.0,1150,3000.0,912.9
158,42.366226,-71.05108,2,1.0,900,2950.0,326.1
159,42.367596,-71.054306,3,1.0,,1800.0,155.5
160,42.366226,-71.05108,2,1.5,905,3500.0,326.1
161,42.358784,-71.05696,13,2.0,1300,3865.0,331.6
162,42.36648,-71.05226,14,1.0,,2400.0,372.3
163,42.36277,-71.05315,14,1.0,598,2500.0,188.3
164,42.35933,-71.05491,13,2.5,995,3350.0,331.6
165,42.35933,-71.05491,13,1.0,600,2350.0,331.6
166,42.366226,-71.05108,2,1.5,,2700.0,326.1
167,42.36748,-71.054405,3,1.0,,3000.0,155.5
168,42.367596,-71.054306,3,1.0,408,1800.0,155.5
169,42.36569,-71.052765,14,1.0,,2500.0,372.3
170,42.36652,-71.05189,2,1.0,380,2650.0,326.1
171,42.364586,-71.052345,14,1.0,600,2200.0,372.3
172,42.364586,-71.052345,14,1.0,550,2200.0,372.3
173,42.361576,-71.053276,7,1.5,,2800.0,238.0
174,42.36569,-71.052765,14,1.0,,2500.0,372.3
175,42.36648,-71.05226,14,1.0,,2400.0,372.3
176,42.36648,-71.05226,14,1.0,,2399.0,372.3
177,42.36648,-71.05226,14,1.0,,1800.0,372.3
178,42.36648,-71.05226,14,2.0,,2400.0,372.3
179,42.36648,-71.05226,14,1.0,,2400.0,372.3
180,42.36648,-71.05226,14,1.0,,1800.0,372.3
181,42.362877,-71.05236,14,1.0,550,1750.0,188.3
182,42.367702,-71.054535,3,2.0,1000,2200.0,155.5
183,42.366226,-71.05108,2,1.0,,2700.0,326.1
184,42.366215,-71.05181,2,2.5,1250,3900.0,326.1
185,42.367702,-71.054535,3,2.0,1000,2200.0,155.5
186,42.36499,-71.052605,14,1.0,550,2300.0,372.3
187,42.36569,-71.052765,14,1.0,,2500.0,372.3
188,42.364964,-71.052536,14,1.0,,1900.0,372.3
189,42.36523,-71.05233,14,1.0,500,2000.0,372.3
190,42.366226,-71.05108,2,1.0,950,2700.0,326.1
191,42.36277,-71.05315,14,2.0,,2800.0,188.3
192,42.365883,-71.05176,2,1.0,,1550.0,326.1
193,42.365074,-71.05269,14,1.0,,1900.0,372.3
194,42.36593,-71.05241,14,1.0,600,1800.0,372.3
195,42.365963,-71.051926,2,1.0,,1550.0,326.1
196,42.36648,-71.05226,14,2.0,,2495.0,372.3
197,42.36195,-71.05332,7,1.0,1200,3000.0,238.0
198,42.357876,-71.05435,16,2.0,1200,2990.0,912.9
199,42.36513,-71.05145,2,1.0,577,2500.0,326.1
200,42.366226,-71.05108,2,2.0,1243,3200.0,326.1
201,42.366226,-71.05108,2,1.5,,2800.0,326.1
202,42.366226,-71.05108,2,1.0,800,2300.0,326.1
203,42.362297,-71.05264,14,1.0,850,2550.0,188.3
204,42.357876,-71.05435,16,1.0,,2500.0,912.9
205,42.357754,-71.05401,16,1.0,,2900.0,912.9
206,42.366226,-71.05108,2,1.5,1500,2900.0,326.1
207,42.362587,-71.05272,14,2.0,762,2700.0,188.3
208,42.365223,-71.05231,14,1.0,400,1850.0,372.3
209,42.36648,-71.05226,14,1.0,,2495.0,372.3
210,42.35845,-71.05444,16,1.0,,3500.0,912.9
211,42.366722,-71.05223,3,1.0,,1900.0,155.5
212,42.358345,-71.05711,13,2.0,,3542.0,331.6
213,42.35845,-71.05444,16,1.0,700,3400.0,912.9
214,42.364944,-71.05247,14,1.0,610,3000.0,372.3
215,42.357876,-71.05435,16,1.0,550,2400.0,912.9
216,42.36195,-71.05332,7,1.0,,3000.0,238.0
217,42.35933,-71.05491,13,2.0,1015,3100.0,331.6
218,42.367577,-71.05437,3,1.0,820,3400.0,155.5
219,42.366074,-71.05176,2,1.0,,3000.0,326.1
220,42.36566,-71.05249,14,1.0,,1600.0,372.3
221,42.36583,-71.052025,2,,,900.0,326.1
222,42.365547,-71.050934,2,1.0,539,2150.0,326.1
223,42.3617,-71.0539,7,2.0,1300,4100.0,238.0
224,42.364964,-71.052536,14,1.0,400,1900.0,372.3
225,42.367416,-71.05263,3,1.0,450,1825.0,155.5
226,42.366226,-71.05108,2,1.0,800,2300.0,326.1
227,42.36272,-71.05257,14,1.0,,2600.0,188.3
228,42.362644,-71.05233,14,1.0,1300,2250.0,188.3
229,42.36304,-71.05275,14,2.5,1240,4400.0,188.3
230,42.36754,-71.05436,3,1.0,,3600.0,155.5
231,42.35933,-71.05491,13,2.5,,3350.0,331.6
232,42.366272,-71.04959,2,2.5,,7250.0,326.1
233,42.357754,-71.05401,16,2.0,,4000.0,912.9
234,42.366215,-71.05181,2,2.5,,4000.0,326.1
235,42.357758,-71.05744,13,3.0,2565,13900.0,331.6
236,42.357758,-71.05744,13,2.0,1445,7900.0,331.6
237,42.357758,-71.05744,13,1.0,770,3800.0,331.6
238,42.358788,-71.05654,13,1.0,,2895.0,331.6
239,42.36754,-71.05436,3,1.0,535,1825.0,155.5
240,42.36758,-71.05398,3,1.0,700,1800.0,155.5
241,42.364586,-71.052345,14,1.0,,2200.0,372.3
242,42.366226,-71.05108,2,1.0,792,2700.0,326.1
243,42.36652,-71.05189,2,1.0,380,2650.0,326.1
244,42.36513,-71.05145,2,1.0,1358,1950.0,326.1
245,42.361576,-71.053276,7,1.5,1200,2800.0,238.0
246,42.362587,-71.05272,14,2.0,,2900.0,188.3
247,42.35787,-71.054504,16,4.0,,6400.0,912.9
248,42.364964,-71.052536,14,1.0,,2600.0,372.3
249,42.36523,-71.05233,14,1.0,,1950.0,372.3
250,42.36587,-71.05135,2,1.5,1500,2900.0,326.1
251,42.36652,-71.05189,2,1.0,650,1850.0,326.1
252,42.36195,-71.05332,7,1.0,,3300.0,238.0
253,42.366215,-71.05181,2,2.5,1218,4000.0,326.1
254,42.3628,-71.053955,14,2.0,,4500.0,188.3
256,42.366226,-71.05108,2,1.0,800,2300.0,326.1
257,42.365677,-71.05187,2,1.0,,2500.0,326.1
258,42.365677,-71.05187,2,1.0,,2500.0,326.1
259,42.365223,-71.0523,14,1.0,,1700.0,372.3
260,42.366215,-71.05181,2,3.0,,4200.0,326.1
262,42.361916,-71.05298,7,1.0,980,3500.0,238.0
263,42.365677,-71.05187,2,1.0,,2500.0,326.1
264,42.365925,-71.05231,14,2.0,,3300.0,372.3
265,42.365677,-71.05187,2,1.0,900,2500.0,326.1
266,42.366615,-71.0518,2,2.0,,2400.0,326.1
267,42.36277,-71.05315,14,2.0,1142,2900.0,188.3
268,42.36277,-71.05315,14,1.0,800,2600.0,188.3
269,42.357754,-71.05401,16,2.0,,3930.0,912.9
270,42.36752,-71.05388,3,1.0,,1800.0,155.5
271,42.36523,-71.05233,14,1.0,,1800.0,372.3
272,42.36523,-71.05233,14,1.0,500,1800.0,372.3
273,42.36754,-71.05436,3,1.0,375,3600.0,155.5
274,42.36523,-71.05233,14,1.0,,1800.0,372.3
275,42.36523,-71.05233,14,,,1800.0,372.3
276,42.36523,-71.05233,14,1.0,,1800.0,372.3
277,42.36569,-71.052765,14,1.0,600,2500.0,372.3
278,42.36752,-71.05388,3,1.0,,1800.0,155.5
279,42.364964,-71.052536,14,1.0,430,1850.0,372.3
280,42.35483,-71.05887,16,1.0,400,2330.0,399.05
281,42.35483,-71.05887,16,1.0,,2430.0,399.05
282,42.356213,-71.05949,30,2.0,1281,7250.0,532.1
283,42.356213,-71.05949,30,1.0,923,3950.0,532.1
284,42.356213,-71.05949,30,2.0,1498,8500.0,532.1
285,42.356213,-71.05949,30,1.0,948,4020.0,532.1
288,42.357815,-71.050964,3,1.0,750,3000.0,371.4
289,42.357815,-71.050964,3,2.5,1660,4800.0,371.4
290,42.356213,-71.05949,30,2.5,1423,7500.0,532.1
291,42.356213,-71.05949,30,2.5,1426,8949.0,532.1
292,42.356213,-71.05949,30,1.5,871,4000.0,532.1
293,42.356213,-71.05949,30,3.5,2186,15000.0,532.1
294,42.356213,-71.05949,30,1.5,948,4200.0,532.1
295,42.357815,-71.050964,3,2.0,1207,4495.0,371.4
296,42.356213,-71.05949,30,3.0,1740,9300.0,532.1
297,42.356213,-71.05949,30,2.5,1609,8500.0,532.1
298,42.356213,-71.05949,30,2.0,1161,5900.0,532.1
299,42.356213,-71.05949,30,1.0,948,4020.0,532.1
300,42.356213,-71.05949,30,2.5,1426,7500.0,532.1
301,42.356213,-71.05949,30,2.0,1161,6000.0,532.1
302,42.356213,-71.05949,30,1.5,812,4100.0,532.1
303,42.356213,-71.05949,30,2.0,1161,6500.0,532.1
304,42.356213,-71.05949,30,1.5,878,4350.0,532.1
305,42.356213,-71.05949,30,1.0,800,4000.0,532.1
306,42.356213,-71.05949,30,3.0,1754,11500.0,532.1
307,42.356213,-71.05949,30,3.5,2222,17000.0,532.1
309,42.357815,-71.050964,3,1.0,750,3000.0,371.4
310,42.356213,-71.05949,30,1.5,812,3900.0,532.1
311,42.356213,-71.05949,30,1.0,950,3900.0,532.1
312,42.357815,-71.050964,3,1.0,870,2600.0,371.4
313,42.356213,-71.05949,30,2.0,1500,8500.0,532.1
314,42.35722,-71.052635,6,1.0,566,2395.0,846.0
315,42.357815,-71.050964,3,1.0,890,3300.0,371.4
316,42.357815,-71.050964,3,1.0,753,3200.0,371.4
319,42.357677,-71.05273,16,2.0,1220,4300.0,912.9
321,42.357815,-71.050964,3,1.0,778,3200.0,371.4
322,42.356213,-71.05949,30,1.0,798,4400.0,532.1
323,42.356934,-71.050446,7,2.0,1691,8000.0,150.3
324,42.356213,-71.05949,30,2.0,1281,7200.0,532.1
325,42.356213,-71.05949,30,2.0,1308,10000.0,532.1
326,42.356213,-71.05949,30,1.0,812,4100.0,532.1
327,42.356213,-71.05949,30,1.0,873,4200.0,532.1
328,42.356213,-71.05949,30,1.0,798,4400.0,532.1
329,42.356213,-71.05949,30,1.0,780,4000.0,532.1
330,42.356213,-71.05949,30,2.0,1308,9000.0,532.1
331,42.356213,-71.05949,30,1.5,798,3950.0,532.1
332,42.356213,-71.05949,30,2.5,1426,7500.0,532.1
333,42.356213,-71.05949,30,1.0,871,4200.0,532.1
334,42.356213,-71.05949,30,1.0,948,4200.0,532.1
335,42.356213,-71.05949,30,2.5,1779,12500.0,532.1
336,42.356213,-71.05949,30,1.0,812,3950.0,532.1
337,42.356213,-71.05949,30,1.5,871,4100.0,532.1
338,42.356213,-71.05949,30,1.5,,4100.0,532.1
339,42.357815,-71.050964,3,1.0,750,3200.0,371.4
341,42.357815,-71.050964,3,1.0,750,3000.0,371.4
342,42.357815,-71.050964,3,2.0,,5750.0,371.4
343,42.356213,-71.05949,30,1.5,871,4200.0,532.1
344,42.356213,-71.05949,30,2.0,1161,5500.0,532.1
345,42.356213,-71.05949,30,1.0,798,4750.0,532.1
346,42.356213,-71.05949,30,1.0,923,4500.0,532.1
347,42.356213,-71.05949,30,1.5,878,4900.0,532.1
349,42.356213,-71.05949,30,1.5,878,4750.0,532.1
350,42.356213,-71.05949,30,2.0,1566,9500.0,532.1
352,42.357815,-71.050964,3,1.0,750,2500.0,371.4
353,42.356213,-71.05949,30,1.0,780,4150.0,532.1
354,42.362446,-71.051636,3,1.0,1500,5000.0,211.3
355,42.356213,-71.05949,30,1.5,798,3900.0,532.1
356,42.356213,-71.05949,30,2.5,1424,8000.0,532.1
357,42.356903,-71.05055,7,2.0,,9500.0,150.3
358,42.356895,-71.052956,6,3.5,,5300.0,846.0
361,42.36188,-71.05059,0,2.0,,6500.0,105.0
362,42.357815,-71.050964,3,2.0,,4500.0,371.4
363,42.357677,-71.05273,16,2.5,,14000.0,912.9
364,42.36188,-71.05059,0,2.0,1902,6500.0,105.0
365,42.36233,-71.0507,3,1.0,1100,2975.0,211.3
366,42.356213,-71.05949,30,2.5,1779,13750.0,532.1
367,42.3582,-71.05056,3,1.0,,3050.0,371.4
368,42.356213,-71.05949,30,1.5,867,4350.0,532.1
370,42.361385,-71.0526,7,1.0,,2700.0,238.0
371,42.357815,-71.050964,3,2.0,,4250.0,371.4
372,42.36233,-71.0507,3,1.0,,3300.0,211.3
373,42.356213,-71.05949,30,2.0,1151,5500.0,532.1
374,42.356213,-71.05949,30,2.0,1154,5500.0,532.1
375,42.356213,-71.05949,30,2.5,1362,8000.0,532.1
376,42.356213,-71.05949,30,1.0,759,4400.0,532.1
377,42.356213,-71.05949,30,1.0,759,4100.0,532.1
378,42.356213,-71.05949,30,2.5,1426,8500.0,532.1
379,42.356213,-71.05949,30,2.5,1362,9000.0,532.1
380,42.356213,-71.05949,30,2.5,1362,7200.0,532.1
381,42.35726,-71.05254,6,2.5,1300,6500.0,846.0
382,42.35483,-71.05887,16,1.0,,2720.0,399.05
383,42.352066,-71.06221,57,1.0,550,2500.0,592.3
384,42.352066,-71.06221,57,1.0,600,2910.0,592.3
385,42.352066,-71.06221,57,2.0,944,4360.0,592.3
386,42.34996,-71.05971,7,1.0,572,2955.0,437.0
387,42.34996,-71.05971,7,1.0,660,3045.0,437.0
388,42.34996,-71.05971,7,2.0,1095,4570.0,437.0
389,42.352215,-71.05906,10,1.0,563,3080.0,335.7
390,42.352215,-71.05906,10,1.0,612,3030.0,335.7
391,42.352215,-71.05906,10,2.0,1049,4450.0,335.7
395,42.353416,-71.06255,19,2.0,1256,6950.0,263.7
396,42.35361,-71.059425,16,1.5,2200,5500.0,399.05
397,42.374336,-71.09605,1,1.0,780,2600.0,68.8
398,42.352623,-71.0591,10,1.0,800,2500.0,335.7
399,42.352337,-71.06023,10,1.0,351,1900.0,335.7
400,42.352337,-71.06023,10,1.0,635,2850.0,335.7
401,42.353416,-71.06255,19,3.5,4663,20000.0,263.7
405,42.354435,-71.06338,10,1.0,590,2200.0,595.2
406,42.353416,-71.0626,19,2.0,1357,3550.0,263.7
407,42.352623,-71.0591,10,1.5,852,3300.0,335.7
408,42.354435,-71.06338,10,1.0,600,2300.0,595.2
409,42.353416,-71.0626,19,2.0,1286,4000.0,263.7
410,42.354435,-71.06338,10,1.0,600,2300.0,595.2
411,42.352623,-71.0591,10,1.0,852,3300.0,335.7
413,42.354435,-71.06338,10,1.0,605,2400.0,595.2
414,42.350616,-71.057884,7,1.0,555,2700.0,437.0
417,42.354435,-71.06338,10,1.0,675,2200.0,595.2
418,42.348164,-71.063065,4,2.0,,2400.0,40.8
419,42.353416,-71.06251,19,2.5,,5999.0,263.7
420,42.354435,-71.06338,10,2.0,1150,4275.0,595.2
421,42.35138,-71.0571,19,2.0,1700,3900.0,300.1
422,42.354435,-71.06338,10,2.0,1120,3700.0,595.2
423,42.355785,-71.059525,30,1.0,798,4600.0,532.1
425,42.353416,-71.0626,19,3.0,1404,5250.0,263.7
426,42.35205,-71.06245,57,2.0,1075,3500.0,592.3
427,42.354435,-71.06338,10,1.0,590,2200.0,595.2
428,42.374336,-71.09605,1,1.0,690,3150.0,68.8
429,42.354435,-71.06338,10,1.0,725,2500.0,595.2
430,42.353416,-71.06255,19,2.5,1602,6500.0,263.7
431,42.35138,-71.0571,19,2.0,1700,3900.0,300.1
432,42.353416,-71.06251,19,4.5,2667,15000.0,263.7
433,42.35042,-71.057724,7,2.0,1492,4000.0,437.0
437,42.3517,-71.062904,57,1.0,553,4000.0,592.3
441,42.353416,-71.0626,19,2.0,998,3750.0,263.7
442,42.351494,-71.06052,57,1.0,,2250.0,592.3
443,42.351578,-71.06024,10,1.0,,1800.0,335.7
444,42.35361,-71.059425,16,1.5,,5500.0,399.05
445,42.35106,-71.06192,57,1.0,950,2600.0,592.3
446,42.35195,-71.05792,10,2.0,1137,3900.0,335.7
447,42.348442,-71.061195,6,1.0,,2400.0,318.0
448,42.35195,-71.05792,10,2.0,1141,4000.0,335.7
449,42.35106,-71.06192,57,1.0,,2600.0,592.3
451,42.353416,-71.06251,19,2.5,4421,5999.0,263.7
452,42.352623,-71.0591,10,1.0,,3300.0,335.7
453,42.353416,-71.0626,19,2.0,1276,3700.0,263.7
454,42.355106,-71.06299,10,1.0,600,2300.0,595.2
455,42.352623,-71.0591,10,1.0,,3300.0,335.7
456,42.347736,-71.06322,4,1.0,500,1295.0,40.8
457,42.352623,-71.0591,10,1.0,844,3300.0,335.7
458,42.348827,-71.063446,27,2.0,956,2900.0,284.8
459,42.352066,-71.06221,57,1.0,,3148.0,592.3
460,42.348827,-71.063446,27,1.0,,3000.0,284.8
461,42.34996,-71.05971,7,1.0,,2750.0,437.0
462,42.354435,-71.06338,10,1.0,590,2750.0,595.2
466,42.35195,-71.06035,57,1.0,,2300.0,592.3
468,42.353416,-71.06251,19,2.5,1402,6250.0,263.7
469,42.35084,-71.05682,8,1.0,1500,3500.0,155.7
470,42.348164,-71.063065,4,2.0,,2300.0,40.8
471,42.35338,-71.06113,19,2.0,,5500.0,263.7
472,42.353416,-71.06255,19,2.5,1596,9500.0,263.7
474,42.353897,-71.06372,10,2.0,,5500.0,595.2
475,42.353416,-71.06251,19,2.5,1402,6000.0,263.7
476,42.353416,-71.06255,19,2.5,1596,9200.0,263.7
477,42.349815,-71.0573,8,2.0,1728,3900.0,155.7
479,42.354435,-71.06338,10,1.0,605,2250.0,595.2
480,42.35117,-71.06199,57,2.0,1073,3508.0,592.3
484,42.353416,-71.06255,19,2.0,1032,5800.0,263.7
485,42.353416,-71.0626,19,2.0,1078,4500.0,263.7
486,42.354435,-71.06338,10,1.0,590,2500.0,595.2
487,42.35195,-71.05792,10,2.0,1057,4000.0,335.7
489,42.348335,-71.06124,6,1.0,,1995.0,318.0
490,42.348164,-71.063065,4,2.0,,2300.0,40.8
491,42.350967,-71.060165,10,1.0,,2295.0,335.7
493,42.353416,-71.06251,19,3.0,1675,8900.0,263.7
496,42.348164,-71.063065,4,2.0,,2400.0,40.8
497,42.35106,-71.06192,57,1.0,900,2500.0,592.3
498,42.374336,-71.09605,1,1.0,616,2600.0,68.8
499,42.35269,-71.060326,57,1.0,911,3726.0,592.3
500,42.353416,-71.0626,19,1.5,965,3750.0,263.7
501,42.35269,-71.060326,57,1.0,640,2775.0,592.3
502,42.35269,-71.060326,57,2.0,1050,3616.0,592.3
503,42.354435,-71.06338,10,1.0,605,2400.0,595.2
504,42.35537,-71.06193,19,,,1925.0,263.7
506,42.35117,-71.06199,57,1.0,825,5031.0,592.3
508,42.35106,-71.06192,57,1.0,,2500.0,592.3
509,42.35225,-71.057434,19,1.0,,3000.0,300.1
510,42.352245,-71.05952,10,2.0,1005,4000.0,335.7
512,42.352623,-71.0591,10,1.0,852,3300.0,335.7
513,42.353897,-71.06372,10,1.0,,5500.0,595.2
515,42.35084,-71.05682,8,1.0,1472,3500.0,155.7
516,42.35195,-71.05792,10,2.0,1138,3900.0,335.7
517,42.353416,-71.06255,19,4.5,3246,17500.0,263.7
518,42.244804,-71.122955,4,1.0,,1995.0,71.7
519,42.352337,-71.06023,10,1.0,,2700.0,335.7
522,42.354435,-71.06338,10,1.0,,2500.0,595.2
523,42.353745,-71.05981,16,2.0,1590,4800.0,399.05
526,42.348827,-71.063446,27,2.0,,2900.0,284.8
527,42.348827,-71.063446,27,2.0,,2900.0,284.8
529,42.347504,-71.0626,6,2.0,,3400.0,318.0
530,42.35195,-71.05792,10,1.0,,2900.0,335.7
531,42.353416,-71.06251,19,2.5,,7600.0,263.7
532,42.352623,-71.0591,10,1.5,,3550.0,335.7
533,42.349915,-71.060165,7,1.0,,3150.0,437.0
534,42.349915,-71.060165,7,1.0,,2850.0,437.0
536,42.35225,-71.057434,19,2.0,1709,2000.0,300.1
537,42.348164,-71.063065,4,2.0,,2400.0,40.8
538,42.353416,-71.06251,19,2.0,,5200.0,263.7
539,42.348633,-71.0614,6,1.0,,1795.0,318.0
540,42.348152,-71.062996,4,2.0,,2400.0,40.8
541,42.34996,-71.05971,7,1.0,,3100.0,437.0
542,42.352623,-71.0591,10,1.0,852,3300.0,335.7
543,42.35313,-71.059204,10,2.0,,3605.0,335.7
544,42.34762,-71.06296,6,1.0,,1675.0,318.0
545,42.353416,-71.06255,19,1.5,,1900.0,263.7
547,42.353416,-71.06255,19,3.0,2181,14500.0,263.7
549,42.35195,-71.05792,10,2.0,,4200.0,335.7
550,42.354435,-71.06338,10,1.0,650,2300.0,595.2
552,42.348827,-71.063446,27,2.0,,3300.0,284.8
553,42.348827,-71.063446,27,2.0,,3300.0,284.8
554,42.348827,-71.063446,27,2.0,,3300.0,284.8
555,42.35195,-71.05792,10,2.0,,4200.0,335.7
556,42.352623,-71.0591,10,1.0,1051,3300.0,335.7
557,42.353416,-71.06251,19,,,7000.0,263.7
558,42.34996,-71.05971,7,1.0,486,2680.0,437.0
559,42.3517,-71.062904,57,1.0,,4300.0,592.3
560,42.365646,-71.054985,10,2.0,766,2995.0,72.9
561,42.355175,-71.0624,19,2.0,,4650.0,263.7
562,42.348442,-71.061195,6,1.0,,2400.0,318.0
563,42.353416,-71.06251,19,2.5,1504,7500.0,263.7
565,42.355785,-71.059525,30,2.0,1161,6200.0,532.1
566,42.353416,-71.06255,19,2.5,1596,7400.0,263.7
567,42.35195,-71.05792,10,1.0,,2900.0,335.7
569,42.374336,-71.09605,1,2.0,812,4000.0,68.8
570,42.352623,-71.0591,10,1.0,852,3300.0,335.7
571,42.348827,-71.063446,27,1.0,,2450.0,284.8
572,42.374336,-71.09605,1,1.0,,2800.0,68.8
574,42.348633,-71.0614,6,1.0,,2695.0,318.0
575,42.35225,-71.057434,19,1.0,,2800.0,300.1
576,42.374336,-71.09605,1,1.5,812,2850.0,68.8
577,42.352352,-71.05914,10,1.0,675,3105.0,335.7
578,42.365486,-71.05411,14,2.0,,4000.0,372.3
579,42.366493,-71.052925,14,1.5,,5200.0,372.3
580,42.364346,-71.05644,13,1.5,1000,2700.0,161.1
581,42.365868,-71.05163,2,2.0,,2800.0,326.1
582,42.363514,-71.0557,13,2.0,993,3000.0,161.1
583,42.364212,-71.05711,13,1.0,600,1750.0,161.1
584,42.365864,-71.05528,10,1.0,800,2100.0,72.9
585,42.36453,-71.05598,10,1.0,734,3495.0,72.9
586,42.365864,-71.05528,10,1.0,800,2000.0,72.9
587,42.364346,-71.05644,13,1.0,400,1550.0,161.1
588,42.364212,-71.05711,13,1.0,800,2400.0,161.1
589,42.36738,-71.054634,3,1.0,400,1650.0,155.5
590,42.365856,-71.05264,14,2.0,,3350.0,372.3
591,42.364212,-71.05711,13,1.0,,1750.0,161.1
592,42.36435,-71.05632,13,1.5,,2400.0,161.1
593,42.365124,-71.057236,10,1.0,,3300.0,72.9
594,42.364132,-71.05747,13,1.0,500,1750.0,161.1
595,42.366768,-71.05404,3,1.0,,2000.0,155.5
596,42.365257,-71.051994,2,1.0,,2600.0,326.1
597,42.365135,-71.05195,2,1.0,,1950.0,326.1
