,Latitude,Longitude,crime,Bathrooms,SQFT,Price,energySiteEUI
8420,42.348278,-71.138405,10,1.0,,2300.0,58.6
8422,42.3411,-71.15366,2,1.0,,2400.0,144.1
8423,42.349186,-71.1391,4,1.0,,2000.0,95.9
8424,42.347103,-71.1575,0,2.0,,2700.0,51.8
8425,42.344112,-71.14118,1,1.0,,2900.0,48.6
8426,42.337288,-71.15099,3,1.0,,3025.0,42.4
8427,42.34911,-71.161736,3,1.0,,2500.0,87.7
8428,42.353046,-71.161934,1,1.0,,2000.0,147.0
8429,42.34041,-71.15554,4,1.0,,3200.0,130.9
8430,42.340275,-71.15644,4,1.0,,2500.0,130.9
8433,42.342358,-71.15056,2,1.0,,3400.0,188.4
8435,42.342163,-71.14547,3,2.0,,3000.0,30.1
8438,42.343815,-71.14191,8,1.0,,2200.0,276.4
8440,42.342552,-71.14492,3,1.0,,3000.0,30.1
8442,42.33661,-71.150925,3,1.0,,2900.0,42.4
8446,42.342552,-71.14492,3,1.5,,3400.0,30.1
8447,42.345036,-71.1414,7,1.0,,950.0,276.4
8449,42.34266,-71.14443,3,1.0,,2100.0,30.1
8451,42.340473,-71.15312,2,2.0,,3450.0,144.1
8454,42.33935,-71.155075,0,1.0,,2000.0,83.8
8455,42.348278,-71.138405,10,1.0,,2200.0,58.6
8457,42.342,-71.14744,0,1.5,,3400.0,30.1
8459,42.341133,-71.14907,4,1.0,,2000.0,166.8
8463,42.337032,-71.1498,3,2.0,,3000.0,42.4
8464,42.343937,-71.14892,0,2.0,,4500.0,30.1
8468,42.348827,-71.16149,3,1.0,,2700.0,87.7
8469,42.33935,-71.155075,0,1.0,,2200.0,83.8
8470,42.342457,-71.156006,1,1.0,,2800.0,130.9
8471,42.33995,-71.15744,4,1.0,,3600.0,130.9
8472,42.34348,-71.153564,3,2.0,,2900.0,135.7
8473,42.33948,-71.15147,4,1.0,,1950.0,42.4
8475,42.341946,-71.14774,0,1.5,,3200.0,30.1
8476,42.342358,-71.15056,2,2.0,,4800.0,188.4
8482,42.3363,-71.150314,3,1.5,,2700.0,42.4
8484,42.35266,-71.16251,1,1.0,,2550.0,147.0
8488,42.343956,-71.14978,2,1.0,,2400.0,188.4
8490,42.342552,-71.14492,3,1.0,,3300.0,30.1
8493,42.356438,-71.15672,3,1.0,,2000.0,307.3
8495,42.343937,-71.14892,0,2.0,,4500.0,30.1
8496,42.347984,-71.15168,27,2.5,,4200.0,54.9
8499,42.35128,-71.16786,0,1.0,,2500.0,121.9
8501,42.33975,-71.15561,4,1.0,,3300.0,130.9
8502,42.34423,-71.141365,7,1.0,,2050.0,276.4
8506,42.34092,-71.149506,8,1.0,,1795.0,162.5
8511,42.336803,-71.15053,3,1.5,,3600.0,42.4
8514,42.34911,-71.161736,3,1.0,,2300.0,87.7
8515,42.33672,-71.149765,3,1.0,,2300.0,42.4
8516,42.347237,-71.15,27,1.0,,1800.0,54.9
8517,42.341663,-71.14999,8,1.0,,1850.0,162.5
8518,42.342,-71.14744,0,1.5,,3400.0,30.1
8524,42.337032,-71.1498,3,2.0,,3900.0,42.4
8527,42.34085,-71.15141,8,2.0,,3200.0,162.5
8529,42.344112,-71.14118,1,1.0,,2950.0,48.6
8531,42.34206,-71.14668,3,1.0,,2700.0,30.1
8536,42.343597,-71.14476,3,1.5,,3150.0,30.1
8537,42.33971,-71.151184,8,1.0,,2925.0,162.5
8538,42.35039,-71.162415,3,1.0,,3000.0,87.7
8539,42.34423,-71.141365,7,1.0,,2050.0,276.4
8543,42.34204,-71.14839,0,1.5,,3300.0,30.1
8544,42.35202,-71.168,0,1.0,,2700.0,121.9
8549,42.34937,-71.14916,1,1.0,,2400.0,215.3
8552,42.343815,-71.14191,8,1.0,700,2075.0,276.4
8553,42.34078,-71.14983,8,1.0,617,1850.0,162.5
8555,42.34975,-71.14076,4,1.0,,2690.0,95.9
8556,42.340363,-71.14809,4,2.0,,3400.0,166.8
8560,42.340057,-71.15028,8,1.0,,2670.0,162.5
8561,42.34085,-71.15141,8,2.0,,3200.0,162.5
8562,42.35022,-71.140335,4,1.0,,1650.0,95.9
8565,42.341114,-71.14832,4,1.0,,2300.0,166.8
8566,42.33937,-71.15155,4,1.0,700,1900.0,42.4
8567,42.340282,-71.147705,4,1.0,,2185.0,166.8
8568,42.340397,-71.16067,1,1.0,,1695.0,88.6
8569,42.3444,-71.143135,7,1.0,,1695.0,276.4
8570,42.34206,-71.14668,3,1.0,,1700.0,30.1
8572,42.34653,-71.15116,27,1.0,9999,1950.0,54.9
8574,42.35039,-71.162415,3,1.0,,3000.0,87.7
8575,42.343586,-71.14442,3,1.0,500,1800.0,30.1
8577,42.348278,-71.138405,10,1.0,,2300.0,58.6
8578,42.35321,-71.16878,1,2.0,,3150.0,120.8
8579,42.342358,-71.15056,2,2.0,,4800.0,188.4
8580,42.34962,-71.16099,3,1.0,,1600.0,87.7
8582,42.360004,-71.14058,3,1.0,,2000.0,103.1
8583,42.341114,-71.14832,4,1.0,800,2300.0,166.8
8585,42.360004,-71.14058,3,1.0,,1800.0,103.1
8588,42.341133,-71.14907,4,1.0,,1900.0,166.8
8589,42.349514,-71.13921,4,1.5,980,2400.0,95.9
8590,42.341347,-71.15708,4,2.0,,4500.0,130.9
8591,42.341114,-71.14832,4,1.0,,2200.0,166.8
8592,42.349133,-71.140915,4,1.0,,2085.0,95.9
8593,42.34258,-71.155304,1,1.0,,2700.0,130.9
8594,42.35992,-71.14116,3,2.0,,4000.0,103.1
8595,42.341362,-71.154526,2,1.0,,2600.0,144.1
8599,42.339706,-71.14782,4,1.0,,2595.0,166.8
8601,42.350105,-71.140305,4,1.0,,1725.0,95.9
8608,42.338963,-71.15155,4,1.0,,1825.0,42.4
8609,42.338833,-71.15189,4,1.0,,1675.0,42.4
8610,42.33661,-71.150925,3,1.0,,2200.0,42.4
8615,42.33935,-71.155075,0,1.0,749,2300.0,83.8
8618,42.343063,-71.150696,2,2.0,,4000.0,188.4
8622,42.349976,-71.140205,4,1.0,,1450.0,95.9
8626,42.3412,-71.14733,4,1.0,,2850.0,166.8
8630,42.34047,-71.15565,4,1.0,,3150.0,130.9
8631,42.342056,-71.149796,2,1.0,,2150.0,188.4
8632,42.351173,-71.162315,1,1.0,,1800.0,147.0
8634,42.349888,-71.160645,3,1.0,,1900.0,87.7
8636,42.34266,-71.14443,3,1.0,,1650.0,30.1
8637,42.351273,-71.16547,2,1.0,,2500.0,85.9
8639,42.352077,-71.16556,2,1.0,,1725.0,85.9
8640,42.343063,-71.150696,2,2.0,,3800.0,188.4
8641,42.342323,-71.146866,0,1.0,,1800.0,30.1
8643,42.351994,-71.16586,0,1.0,,1700.0,121.9
8653,42.346565,-71.137245,10,1.0,,1750.0,58.6
8655,42.342552,-71.14492,3,1.0,1500,3200.0,30.1
8656,42.349514,-71.13921,4,1.0,,1300.0,95.9
8658,42.33935,-71.155075,0,1.0,,1400.0,83.8
8659,42.34975,-71.14076,4,1.0,,2784.0,95.9
8661,42.349533,-71.15685,2,1.5,,3000.0,108.8
8665,42.340397,-71.16067,1,1.0,,1800.0,88.6
8668,42.34406,-71.14546,3,1.0,1200,2850.0,30.1
8671,42.339954,-71.15742,4,1.0,1000,3900.0,130.9
8672,42.343586,-71.14442,3,1.0,,1600.0,30.1
8673,42.342358,-71.15056,2,2.0,,4800.0,188.4
8676,42.343586,-71.14442,3,1.0,,1700.0,30.1
8677,42.34921,-71.1682,1,1.0,,2000.0,199.6
8679,42.351463,-71.16135,1,1.0,,2400.0,147.0
8683,42.340042,-71.1536,2,1.0,,1750.0,144.1
